Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175,Column176,Column177,Column178,Column179,Column180,Column181,Column182,Column183,Column184,Column185,Column186,Column187,Column188,Column189,Column190,Column191,Column192,Column193,Column194,Column195,Column196,Column197,Column198,Column199,Column200,Column201,Column202,Column203,Column204,Column205,Column206,Column207,Column208,Column209,Column210,Column211,Column212,Column213,Column214,Column215,Column216,Column217,Column218,Column219,Column220,Column221,Column222,Column223,Column224,Column225,Column226,Column227,Column228,Column229,Column230,Column231,Column232,Column233,Column234,Column235,Column236,Column237,Column238,Column239,Column240,Column241,Column242,Column243,Column244
Inf,401.95995014814,Inf,Inf,Inf,Inf,Inf,952.827225354199,922.201512859043,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1377.37909253875,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,796.636708273078,Inf,Inf,Inf,1163.94717884868,282.838090767689,1585.14812119774,238.382475503117,1223.31278785084,1496.10924262716,442.292895887032,1313.85156078888,465.790744324502,770.673442969492,1898.20662471146,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2020.71685158044,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2085.4954466422,Inf,Inf,1171.44520731331,1325.3817712663,1268.03279872612,778.502719200133,974.408231799621,1030.46270286621,1056.53315926581,1131.1332342465,1020.11063139031,1092.77947007593,1203.42030115773,1157.3776493604,1077.59500170026,1103.85686405713,843.211357300397,656.528921805799,922.15676519768,1009.04192049877,881.597811481472,1029.51806976888,1030.10337193124,1038.86837021123,1073.9449626844,1031.92326595982,1015.55036035079,790.028775747942,1351.04316178897,1373.68856923313,1113.35754452709,1061.89291481514,1023.90857792391,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1425.24429155673,Inf,1971.53805028849,1935.97997934926,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1299.4032078475,1564.85056166124,1474.32515735361,1408.75652327615,1521.94189972494,2009.67065354288,1395.69575348003,1548.79805458563,1486.61645496052,1212.88917735493,1160.78401639484,1242.21757018636,805.821090136097,1113.00496233033,1067.0093873141,1123.32737364151,1301.47451751926,840.447028829288,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1908.41196522109,1890.16087727943,Inf,Inf,Inf,2026.71427480002,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
401.95995014814,Inf,Inf,Inf,Inf,Inf,Inf,1349.99198394074,1324.11898321794,Inf,Inf,Inf,Inf,Inf,Inf,2188.21315689191,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1717.97299323513,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1198.58282214696,Inf,Inf,Inf,1052.35887843752,495.037747704816,1661.33137284646,408.528830773625,236.485618102786,545.537011948793,46.4068029721115,210.428034904342,600.518328441581,647.472535391004,1022.38592572345,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1929.37297716575,1876.2675504439,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1556.65864398357,1711.62162529169,1602.08299961296,1178.5914567473,1375.75831055795,1418.99657860788,1440.12671544247,1501.66809200887,1398.36141779738,1462.18427273255,1570.25768467876,1543.28510744678,1471.5825274247,1493.30242457887,1241.1801107669,1035.53427056486,1304.01072109145,1392.25123055475,1268.70595774295,1426.52648962372,1426.24567809742,1435.09753649992,1447.59863965936,1411.51959354904,1408.78749204807,1166.84489365642,1759.94701964148,1756.78134489402,1512.31991932626,1460.46481094837,1425.41662794225,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1728.38620890757,Inf,Inf,2024.27984501031,Inf,2032.04412290922,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1638.78011174175,1943.38946081,1805.24950059389,1704.83321914795,1810.60722482232,2150.19662388361,1493.56363955077,1736.75730664875,1722.76810890674,1517.69440850902,1493.19092674976,1541.9548126687,1153.05697128607,1350.99132518571,1385.92114666773,1438.31703895127,1587.62783603925,1179.3742831319,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2179.99569118815,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,2019.15412912286,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1378.72662561728,1750.98861716743,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1001.18961677949,101.918154197422,608.055904394332,250.814695529157,609.203446803883,920.811463519931,620.676966166523,890.749833517543,153.806607619595,1600.09719275687,Inf,Inf,Inf,Inf,1632.00387077268,2155.61640253043,1644.28134167666,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2149.97461508732,Inf,Inf,2102.19958389074,Inf,Inf,Inf,2163.58901095253,2135.38618025167,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1538.26207353063,2169.6076578733,2023.16254705023,2160.31196045915,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1451.45770592766,1595.94174006831,1322.25823242507,1603.49653427294,1274.13403100729,1590.93911633604,1468.08929842387,1532.95248025077,1509.63168070477,1359.67208634356,1484.13139115578,1479.44751218424,1528.29729728272,1246.0236251123,1153.36884596061,1492.06562865233,Inf,2101.58606550688,2088.6904663209,Inf,1550.35002355264,1625.14549248736,2068.21915962439,1520.07112221627,1205.38910008894,1264.57038673652,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1836.77798946456,Inf,Inf,Inf,2139.01596329981,Inf,Inf,Inf,2137.428513471,Inf,Inf,Inf,676.631341652614,120.139357719883,113.302526836446,1108.07426700117,1355.1922322174,475.270458430074,1053.12103500991,1709.68297662625,652.315839443911,860.785201557957,Inf,107.75235274165,123.360707889667,Inf,113.958614396127,843.872791352392,143.139978507959,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1983.06784115898,1776.38189751849,2139.0037520834,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,2019.15412912286,Inf,Inf,1169.08498437215,1378.61340329712,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,709.311393552802,738.57758869584,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1217.51611775501,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1156.98610861634,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2017.5398806248,1945.11087352916,Inf,2098.25064010336,Inf,1650.11550713624,Inf,1650.7262660093,1896.55795749879,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,291.804629734032,746.98684435087,985.784609548881,315.722257688621,657.730273602797,726.782510190698,282.035357313666,540.594848773999,520.762045048359,969.570050970209,1322.90850916243,1511.63764180774,1372.1468507829,1213.38309662646,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2169.13470486965,Inf,Inf,2092.19391468266,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1840.12864203876,1735.97719400315,2155.94844207814,Inf,Inf,Inf,2029.44830746771,Inf,2003.6552373193,Inf,Inf,2170.17829135794,2114.63541424243,1958.28966933182,Inf,1294.32289709399,670.792476801758,699.265372857206,894.140129213928,925.529005752099,597.298930150698,685.431732091007,603.507734731946,635.163838085373,753.308232611477,698.155031736327,653.754529510851,623.936116404153,968.420215809962,899.995106708815,631.051757790285,1569.08405532951,1345.30618492932,1369.46802413885,1545.16163511057,547.607568542603,550.804999421323,1222.48668259252,547.836513888348,864.086609458651,918.922737495693,1993.62291056302,1215.56304886951,1232.03329635609,1878.90760069645,1201.97182315486,2093.05132190754,1209.4987042382,1102.62661203932,1234.73791035815,2188.5966799657,1759.09147774803,1076.46091934332,1137.5899009865,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1574.29981078218,1199.54959203905,Inf,1122.58329806435,1264.60637565661,1184.03733112685,1231.50112644264,Inf,Inf
Inf,Inf,Inf,Inf,1169.08498437215,Inf,2170.38286361949,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1861.06175435774,1875.1494683586,Inf,Inf,Inf,Inf,Inf,Inf,Inf,76.4530595431561,1918.09966409056,Inf,Inf,Inf,Inf,Inf,Inf,903.470561099914,665.394248235308,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,928.629821709227,446.636767603551,1294.26178538326,959.140515628124,518.261032618033,466.90170259002,912.614746515566,1504.51659892261,1505.08147848645,1912.39079787489,2116.39308701853,2133.65127359389,2179.04477283622,1857.96990846377,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1837.34235718948,1796.49489299143,1773.007567347,1776.64991134437,1766.30595002206,1851.68927267569,1770.49066909891,1802.06009458596,1909.55877489106,1866.33600283722,1818.66916570043,1791.75364408565,2130.86127978308,2021.19638736505,1795.37852585566,1987.43304358603,Inf,Inf,2171.36311426848,1711.07014160772,1719.71051651688,Inf,1702.64796819864,1997.33829210604,1782.81992559157,119.386824569776,51.0881714958369,100.854128310632,187.233291231323,70.0569813606994,144.473160904264,43.9639376953802,1612.41491953284,1447.8056007433,1705.46711299417,770.732229250557,764.944296090512,745.283607761117,902.575105477246,1218.28690289652,902.501526533588,1386.32349122018,1376.53654370127,758.119380346099,1700.69188463936,Inf,52.3288043931593,1617.95840461321,1660.40796996445,100.254033467064,49.670499875331,92.0682198931223,Inf,Inf
Inf,Inf,Inf,Inf,1378.61340329712,2170.38286361949,Inf,1858.02446407999,2142.24085447468,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,639.809991851167,Inf,961.433101799399,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1878.60752810416,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1694.18551228163,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2173.98990997601,Inf,Inf,Inf,Inf,Inf,Inf,1824.49651739725,Inf,1846.89392922678,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1630.67851183079,1912.14953057354,Inf,1676.92918673261,1815.80598967653,1898.40479739571,1431.37271502418,838.547247217625,860.328210560262,455.663904077355,56.7866391804797,326.032870978971,30.6904767160532,358.306689395809,1488.89468486654,1461.38293626898,1905.63567801911,2114.16037537601,1984.39380211288,1641.69554031646,1556.90037942863,1320.53363682473,1530.80822076128,1356.81368122402,1197.30770740797,1455.05890947316,1657.47658403501,1560.36342777097,1994.01649779376,1971.32254038621,1681.70809392021,1602.03341264536,1788.46971185394,1771.48577512945,1755.85342640523,1744.03591549933,1419.85472912965,1532.60240801955,1717.41367014384,1792.25339495251,1820.36176650593,1147.65752740595,1741.4405657803,1779.44635404124,1954.55218703708,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2126.95086555613,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,717.327152989401,891.18207109915,584.729398120911,790.447167875418,759.624981142539,1550.29505152588,1636.83993886602,1258.42948733474,1041.75607987953,901.970459467904,866.409866990299,896.443622779862,1629.43496585608,1203.89638899781,987.112129456158,946.752234953482,905.712844799906,1557.93345892719,Inf,Inf,Inf,Inf,2079.25762494817,2175.34265228965,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,537.692798768977,611.07482245296,639.170494318661,792.859238530078,Inf,2158.91885597062,591.447154540445,Inf,Inf,2063.31719538936,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1493.36906333887,958.431831384063,2058.12844458113,2171.82311167064,1547.08417072752,1610.0802283722,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1191.8492088165,2170.9762009578,Inf,1445.60405677807,Inf,2155.34713120054,Inf,Inf,Inf
952.827225354199,1349.99198394074,Inf,Inf,Inf,Inf,1858.02446407999,Inf,191.223194988487,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,663.501294169679,Inf,1912.27624749279,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,217.592493254259,Inf,Inf,Inf,Inf,1038.50418967512,2141.18240169611,1079.30628018715,2087.9544955749,Inf,1392.57516880572,Inf,1152.84160642441,1435.07980230183,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1507.95187684117,1940.59753268563,1158.22004205364,1887.77745493706,1416.73710151472,1139.87945461797,1162.91546069103,1836.02407282726,183.206766078118,116.429450798466,142.707292872303,200.856902141789,338.284443770012,228.870888961416,324.800428301095,407.010536214718,254.542942044016,134.398581412983,187.012522379262,110.230094457038,354.118381538812,185.573285509785,182.849574594256,150.075466052167,76.6960866003668,78.9765950350294,87.2772010453259,286.271530300894,222.338195489518,87.5414560438424,271.660142286962,164.490434525183,461.127504131991,166.190799496931,113.653688689549,145.243554841729,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,613.881451159038,658.637165286327,778.699382888157,869.57260046257,978.265106912562,1812.08438057389,1445.30523628175,1319.40105644472,1130.66024129204,713.138234925506,564.338939205167,749.868606846703,424.330896668714,902.566023319018,585.488741484016,625.732285019472,837.189615695034,457.898316710298,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1520.54851793475,1275.48998557113,1272.04934854518,1607.31831116504,Inf,Inf,1367.81995054319,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1926.58000779916,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2014.58759018374,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
922.201512859043,1324.11898321794,Inf,Inf,Inf,Inf,2142.24085447468,191.223194988487,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,852.095981599509,Inf,2093.76452161268,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,127.773468547434,Inf,Inf,Inf,1763.38854312942,955.695290425074,1033.03798952937,1008.98267598742,2025.18888653346,Inf,1363.7226113158,2075.88407481013,1045.73098039741,1495.52901474332,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1272.208162249,2171.84890007247,1546.51828038561,412.68627492459,523.014400997398,777.356426795153,184.279181139186,94.3229849414718,331.324961726813,390.245226753996,528.14448131763,419.796722758805,515.947631834767,594.390176802891,426.477413371559,293.995911992337,360.011960318977,184.005066538503,435.687476812836,363.946009476893,374.003519585455,313.029196623781,224.405975002434,238.06509575331,241.46849011987,477.385970782319,413.560470848841,271.124875316098,405.529020170747,210.461457008474,610.088657807687,250.503538207997,218.452279826451,124.2038536044,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2027.03088013191,1013.13078177701,Inf,Inf,1226.05407129565,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2013.70663496914,Inf,Inf,Inf,804.494849917808,801.465556995569,966.870665484641,1060.45233509113,1169.46706352748,1995.30188499635,1601.560159757,1499.85353365433,1316.79494002469,900.698180230766,753.99768491453,937.744027297743,570.65423577623,1070.60493622003,767.334813749201,810.715895477497,1025.06719808954,611.705919395976,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1695.90469505817,1462.98150199184,1460.41451326443,1793.61328588514,Inf,Inf,1552.77035295935,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2025.71939513232,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2083.99748610649,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,202.746497977854,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,69.2075697641913,92.2217426391636,62.8440532758359,1224.28330282599,800.111341219822,23.5874885293639,1198.16938141593,1375.25340982399,2067.03843330551,Inf,2011.74898561882,Inf,1413.98133574846,Inf,Inf,Inf,Inf,90.380292948724,669.070195044008,72.4077753294931,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1762.00492232533,Inf,1683.39499508418,1603.00138578197,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
