DAG_Node_ID,Original_Node_ID,Facility_Name,Node_Type,Latitude,Longitude,Mission_Assignment
202,220,"Cleland Hospital",H,55.80381685,-3.90593862,MISSION_B
84,215,"Migdale Hospital",H,57.89167493,-4.341446222,MISSION_A
21,73,"new",new,60.12535509,-2.054196977,MISSION_A
232,251,"St Michael's Hospital",H,55.97503746,-3.585907137,MISSION_B
151,115,"Thomas Hope Hospital",H,55.15060215,-2.998314097,MISSION_B
148,112,"Crichton Royal Hospital",H,55.05683478,-3.597721967,MISSION_B
58,185,"Ugie Hospital",H,57.51538041,-1.792753795,MISSION_A
29,86,"Arbroath Airport",new,56.58285609,-2.621991137,MISSION_A
190,168,"Arndale Resource Centre",H,55.90942803,-4.348857013,MISSION_B
76,207,"Belford Hospital",H,56.81961329,-5.103503994,MISSION_A
89,263,"Dundee Dental Hospital",H,56.45849503,-2.977892064,MISSION_A
223,242,"Chalmers Hospital",H,55.95283655,-3.197895768,MISSION_B
56,183,"Turriff Cottage Hospital",H,57.53734207,-2.449308321,MISSION_A
206,224,"Lockhart Hospital",H,55.67011979,-3.758529773,MISSION_B
50,177,"Glen O'Dee Hospital",H,57.05934867,-2.519829255,MISSION_A
4,23,"Aberdeen Dyce Airport",A,57.2019,-2.19778,MISSION_A
147,111,"Castle Douglas Community Hospital",H,54.93904841,-3.923638147,MISSION_B
90,264,"Strathmartine Hospital",H,56.50461339,-3.002135832,MISSION_A
10,41,"new",new,57.33490808,-5.540030481,MISSION_A
18,68,"Gilbert Bain Hospital",H,60.1515905,-1.153737444,MISSION_A
27,82,"Barra Airport",A,57.0228,-7.44306,MISSION_A
34,130,"St Andrews Community Hospital",H,56.32774528,-2.804063191,MISSION_A
161,125,"Laurel Bank (CETU)",H,55.06292255,-3.602475871,MISSION_B
23,77,"new",new,56.55999706,-4.002153202,MISSION_A
194,172,"The Mary Aitkenhead Centre",H,55.8947143,-4.384344928,MISSION_B
139,103,"Hawick Community  Hospital",H,55.42351153,-2.793080396,MISSION_B
106,280,"Gowanlea",H,56.56361057,-2.572393149,MISSION_A
77,208,"Glencoe Hospital",H,56.68504892,-5.096778442,MISSION_A
122,59,"University Hospital Monklands",H,55.8659408,-3.998281093,MISSION_B
80,211,"County Community Hospital Invergordon",H,57.69660892,-4.15049453,MISSION_A
163,127,"Midpark Hospital",H,55.05259832,-3.58695362,MISSION_B
152,116,"Lochmaben Hospital",H,55.12844838,-3.453098493,MISSION_B
136,100,"Girvan Community Hospital",H,55.2482983,-4.845812147,MISSION_B
24,79,"Western Isles Hospital",H,58.22148589,-6.382504582,MISSION_A
105,279,"Whitehills Hospital",H,56.65237417,-2.870139267,MISSION_A
212,230,"Stonehouse Hospital",H,55.69241697,-3.99053178,MISSION_B
196,195,"Islay Hospital",H,55.7558601,-6.278215216,MISSION_B
45,141,"Clackmannanshire Community Healthcare Centre",H,56.12478022,-3.782199491,MISSION_A
104,278,"Stracathro Hospital",H,56.77508919,-2.612183711,MISSION_A
39,135,"Queen Margaret Hospital",H,56.08238381,-3.425563347,MISSION_A
42,138,"Bellsdyke Hospital",H,56.03504609,-3.818273686,MISSION_A
204,222,"Kello Hospital",H,55.62255627,-3.519069634,MISSION_B
102,276,"Little Cairnie Hospital",H,56.56795065,-2.606457761,MISSION_A
143,107,"Hawick Psychogeriatric Day Hospital",H,55.41944947,-2.788906805,MISSION_B
174,152,"Auchinlea Resource Centre",H,55.87121504,-4.129670818,MISSION_B
228,247,"Cambridge Street Day Centre",H,55.94790711,-3.203928301,MISSION_B
192,170,"Pineview",H,55.90989103,-4.324464125,MISSION_B
33,129,"Adamson Hospital",H,56.32441458,-3.016476797,MISSION_A
86,238,"Edington Cottage Hospital",H,56.05557239,-2.716843114,MISSION_A
231,250,"Ballenden House",H,55.9444908,-3.180858496,MISSION_B
37,133,"Weston Day Hospital",H,56.31855927,-3.018245422,MISSION_A
239,258,"Findlay House",H,55.96819412,-3.143059788,MISSION_B
57,184,"Chalmers Hospital",H,57.66923663,-2.52278476,MISSION_A
233,252,"Tippethill Hospital",H,55.87680395,-3.686279247,MISSION_B
41,137,"Bo'ness Hospital",H,56.01165112,-3.612898938,MISSION_A
116,1,"University Hospital Crosshouse",H,55.61397859,-4.538174149,MISSION_B
3,22,"Aberdeen Royal Infirmary",H,57.15446245,-2.135741274,MISSION_A
176,154,"Shawpark Resource Centre",H,55.88855482,-4.285921346,MISSION_B
219,237,"Edenhall Hospital",H,55.93689091,-3.034627515,MISSION_B
75,206,"St Vincent's Hospital",H,57.08493197,-4.055753518,MISSION_A
114,288,"St Brendans Cot Hospital",H,56.95228577,-7.496280665,MISSION_A
