DAG_Node_ID,Original_Node_ID,Facility_Name,Node_Type,Latitude,Longitude,Mission_Role
175,220,"Cleland Hospital",H,55.80381685,-3.90593862,network
170,215,"Migdale Hospital",H,57.89167493,-4.341446222,network
52,73,"new",new,60.12535509,-2.054196977,DESTINATION
206,251,"St Michael's Hospital",H,55.97503746,-3.585907137,network
70,115,"Thomas Hope Hospital",H,55.15060215,-2.998314097,network
67,112,"Crichton Royal Hospital",H,55.05683478,-3.597721967,network
140,185,"Ugie Hospital",H,57.51538041,-1.792753795,network
57,86,"Arbroath Airport",new,56.58285609,-2.621991137,DESTINATION
123,168,"Arndale Resource Centre",H,55.90942803,-4.348857013,network
162,207,"Belford Hospital",H,56.81961329,-5.103503994,network
218,263,"Dundee Dental Hospital",H,56.45849503,-2.977892064,network
197,242,"Chalmers Hospital",H,55.95283655,-3.197895768,network
138,183,"Turriff Cottage Hospital",H,57.53734207,-2.449308321,network
179,224,"Lockhart Hospital",H,55.67011979,-3.758529773,network
132,177,"Glen O'Dee Hospital",H,57.05934867,-2.519829255,network
9,23,"Aberdeen Dyce Airport",A,57.2019,-2.19778,network
66,111,"Castle Douglas Community Hospital",H,54.93904841,-3.923638147,network
219,264,"Strathmartine Hospital",H,56.50461339,-3.002135832,network
46,41,"new",new,57.33490808,-5.540030481,network
27,68,"Gilbert Bain Hospital",H,60.1515905,-1.153737444,DESTINATION
55,82,"Barra Airport",A,57.0228,-7.44306,DESTINATION
85,130,"St Andrews Community Hospital",H,56.32774528,-2.804063191,network
80,125,"Laurel Bank (CETU)",H,55.06292255,-3.602475871,network
53,77,"new",new,56.55999706,-4.002153202,DESTINATION
127,172,"The Mary Aitkenhead Centre",H,55.8947143,-4.384344928,network
44,103,"Hawick Community  Hospital",H,55.42351153,-2.793080396,network
235,280,"Gowanlea",H,56.56361057,-2.572393149,network
24,59,"University Hospital Monklands",H,55.8659408,-3.998281093,DESTINATION
163,208,"Glencoe Hospital",H,56.68504892,-5.096778442,network
166,211,"County Community Hospital Invergordon",H,57.69660892,-4.15049453,network
82,127,"Midpark Hospital",H,55.05259832,-3.58695362,network
71,116,"Lochmaben Hospital",H,55.12844838,-3.453098493,network
41,100,"Girvan Community Hospital",H,55.2482983,-4.845812147,network
29,79,"Western Isles Hospital",H,58.22148589,-6.382504582,network
185,230,"Stonehouse Hospital",H,55.69241697,-3.99053178,network
234,279,"Whitehills Hospital",H,56.65237417,-2.870139267,network
150,195,"Islay Hospital",H,55.7558601,-6.278215216,network
96,141,"Clackmannanshire Community Healthcare Centre",H,56.12478022,-3.782199491,network
233,278,"Stracathro Hospital",H,56.77508919,-2.612183711,network
90,135,"Queen Margaret Hospital",H,56.08238381,-3.425563347,network
93,138,"Bellsdyke Hospital",H,56.03504609,-3.818273686,network
177,222,"Kello Hospital",H,55.62255627,-3.519069634,network
62,107,"Hawick Psychogeriatric Day Hospital",H,55.41944947,-2.788906805,DESTINATION
231,276,"Little Cairnie Hospital",H,56.56795065,-2.606457761,network
107,152,"Auchinlea Resource Centre",H,55.87121504,-4.129670818,network
202,247,"Cambridge Street Day Centre",H,55.94790711,-3.203928301,network
125,170,"Pineview",H,55.90989103,-4.324464125,network
