node_id,ipa_result,mc_10k,abs_error_10k,mc_100k,abs_error_100k,mc_1m,abs_error_1m
1,0.895600925,0.8904,0.005200925,0.895582,1.89E-05,0.895056,
2,0.543518825,0.5391,0.004418825,0.543576,5.72E-05,0.543199,
3,0.432470431,0.4256,0.006870431,0.432593,0.000122569,0.432872,
4,0.27013285,0.262,0.00813285,0.270039,9.39E-05,0.270577,
5,0.372895842,0.3693,0.003595842,0.372544,0.000351842,0.371851,
6,0.404918955,0.4016,0.003318955,0.40458,0.000338955,0.404416,
7,0.913289908,0.9142,0.000910092,0.913285,4.91E-06,0.91315,
8,0.690910511,0.6935,0.002589489,0.691116,0.000205489,0.691767,
9,0.473313074,0.4754,0.002086926,0.473927,0.000613926,0.474505,
10,0.578051956,0.5814,0.003348044,0.578474,0.000422044,0.577963,
11,0.563945822,0.5702,0.006254178,0.564343,0.000397178,0.564525,
12,0.491286918,0.4932,0.001913082,0.491149,0.000137918,0.491865,
13,0.556475788,0.5489,0.007575788,0.555629,0.000846788,0.555871,
14,0.528078006,0.5196,0.008478006,0.527716,0.000362006,0.528809,
15,0.576080547,0.564,0.012080547,0.574985,0.001095547,0.576217,
16,0.75234596,0.7476,0.00474596,0.751877,0.00046896,0.752591,
17,0.584952349,0.5774,0.007552349,0.584896,5.63E-05,0.585857,
18,0.905335568,0.8983,0.007035568,0.904693,0.000642568,0.905175,
19,0.460424624,0.4673,0.006875376,0.460815,0.000390376,0.461592,
20,0.292259813,0.2968,0.004540187,0.292364,0.000104187,0.293042,
21,0.437418272,0.4332,0.004218272,0.437774,0.000355728,0.43815,
22,0.508544479,0.5144,0.005855521,0.508938,0.000393521,0.509423,
23,0.37210583,0.3723,0.00019417,0.372311,0.00020517,0.372145,
24,0.322351604,0.3313,0.008948396,0.323008,0.000656396,0.322597,
25,0.209381684,0.2168,0.007418316,0.209995,0.000613316,0.209359,
26,0.157864819,0.165,0.007135181,0.158329,0.000464181,0.158138,
27,0.127400537,0.1341,0.006699463,0.127812,0.000411463,0.127666,
28,0.175745955,0.183,0.007254045,0.176328,0.000582045,0.175777,
29,0.177279577,0.1817,0.004420423,0.177824,0.000544423,0.17732,
30,0.273879365,0.2726,0.001279365,0.274165,0.000285635,0.273938,
31,0.216711576,0.2127,0.004011576,0.217078,0.000366424,0.216841,
32,0.146943239,0.1446,0.002343239,0.147338,0.000394761,0.147305,
33,0.230789137,0.2317,0.000910863,0.231392,0.000602863,0.231124,
34,0.22151482,0.2224,0.00088518,0.222038,0.00052318,0.221757,
35,0.167811796,0.1613,0.006511796,0.167985,0.000173204,0.168285,
36,0.505614605,0.4982,0.007414605,0.505281,0.000333605,0.505783,
37,0.487113918,0.4909,0.003786082,0.487414,0.000300082,0.486191,
38,0.61833028,0.6108,0.00753028,0.6182,0.00013028,0.618124,
39,0.609795637,0.6043,0.005495637,0.609479,0.000316637,0.609189,
40,0.501479392,0.4953,0.006179392,0.500797,0.000682392,0.500721,
41,0.858840047,0.8579,0.000940047,0.858959,0.000118953,0.859135,
42,0.169575453,0.172,0.002424547,0.169969,0.000393547,0.169703,
43,0.127838363,0.1307,0.002861637,0.127925,8.66E-05,0.128336,
44,0.360077968,0.3599,0.000177968,0.360378,0.000300032,0.359504,
45,0.306146825,0.3031,0.003046825,0.306511,0.000364175,0.305273,
46,0.236895773,0.2353,0.001595773,0.237093,0.000197227,0.235852,
47,0.221888527,0.2191,0.002788527,0.221939,5.05E-05,0.220961,
48,0.163244558,0.1606,0.002644558,0.163561,0.000316442,0.16271,
49,0.095800267,0.0955,0.000300267,0.095999,0.000198733,0.095622,
50,0.066756472,0.0661,0.000656472,0.067025,0.000268528,0.066881,
51,0.107390052,0.104,0.003390052,0.107794,0.000403948,0.106998,
52,0.137171501,0.1334,0.003771501,0.137602,0.000430499,0.136771,
53,0.168081954,0.1682,0.000118046,0.168276,0.000194046,0.167038,
54,0.12420982,0.1267,0.00249018,0.124311,0.00010118,0.12363,
55,0.08338685,0.0867,0.00331315,0.083531,0.00014415,0.082999,
56,0.154361497,0.1547,0.000338503,0.154617,0.000255503,0.153714,
57,0.162032289,0.1634,0.001367711,0.162469,0.000436711,0.161167,
58,0.099973428,0.1027,0.002726572,0.099995,2.16E-05,0.099342,
59,0.382704441,0.3902,0.007495559,0.383238,0.000533559,0.383334,
60,0.527781068,0.5319,0.004118932,0.528314,0.000532932,0.527458,
61,0.57905262,0.5881,0.00904738,0.57985,0.00079738,0.579816,
62,0.63080387,0.643,0.01219613,0.631716,0.00091213,0.630923,
63,0.494086399,0.5027,0.008613601,0.494136,4.96E-05,0.493768,
64,0.813302419,0.8198,0.006497581,0.81388,0.000577581,0.813357,
65,0.118944962,0.123,0.004055038,0.11921,0.000265038,0.11834,
66,0.074539636,0.075,0.000460364,0.074956,0.000416364,0.074067,
67,0.461518996,0.4676,0.006081004,0.461927,0.000408004,0.46119,
68,0.364681556,0.3703,0.005618444,0.364972,0.000290444,0.36407,
69,0.264537036,0.2649,0.000362964,0.264384,0.000153036,0.264084,
70,0.256136014,0.2593,0.003163986,0.256456,0.000319986,0.256149,
71,0.218228313,0.2225,0.004271687,0.218749,0.000520687,0.218319,
72,0.176555873,0.1782,0.001644127,0.177067,0.000511127,0.1764,
73,0.125171762,0.1284,0.003228238,0.125562,0.000390238,0.125199,
74,0.150552635,0.1543,0.003747365,0.150724,0.000171365,0.15066,
75,0.135458674,0.1395,0.004041326,0.136,0.000541326,0.135334,
76,0.18005885,0.1777,0.00235885,0.179867,0.00019185,0.179773,
77,0.116742581,0.1165,0.000242581,0.116616,0.000126581,0.116622,
78,0.088706428,0.0905,0.001793572,0.088179,0.000527428,0.088592,
79,0.200102736,0.2075,0.007397264,0.199878,0.000224736,0.200187,
80,0.157216736,0.1585,0.001283264,0.156815,0.000401736,0.157076,
81,0.066764671,0.0663,0.000464671,0.066381,0.000383671,0.066565,
82,0.511800529,0.5157,0.003899471,0.511874,7.35E-05,0.511405,
83,0.613938841,0.6209,0.006961159,0.614254,0.000315159,0.614349,
84,0.700481566,0.7021,0.001618434,0.700903,0.000421434,0.699722,
85,0.73221042,0.7411,0.00888958,0.732955,0.00074458,0.732806,
86,0.606404418,0.6161,0.009695582,0.607187,0.000782582,0.606896,
87,0.909677952,0.915,0.005322048,0.909968,0.000290048,0.909788,
88,0.104680445,0.1093,0.004619555,0.104047,0.000633445,0.104673,
89,0.072156344,0.0752,0.003043656,0.071803,0.000353344,0.072369,
90,0.469294269,0.4728,0.003505731,0.469953,0.000658731,0.469525,
91,0.32488553,0.3285,0.00361447,0.325116,0.00023047,0.325697,
92,0.21999107,0.2246,0.00460893,0.220138,0.00014693,0.220837,
93,0.280984953,0.2889,0.007915047,0.281093,0.000108047,0.281959,
94,0.208077112,0.2117,0.003622888,0.208187,0.000109888,0.209005,
95,0.15538586,0.1574,0.00201414,0.155214,0.00017186,0.156009,
96,0.109701646,0.1102,0.000498354,0.109925,0.000223354,0.110284,
97,0.147081178,0.1525,0.005418822,0.147369,0.000287822,0.148024,
98,0.17893886,0.1811,0.00216114,0.179124,0.00018514,0.179676,
99,0.159565614,0.1604,0.000834386,0.159803,0.000237386,0.159977,
100,0.117446166,0.1183,0.000853834,0.117817,0.000370834,0.117738,
101,0.084643778,0.0851,0.000456222,0.084994,0.000350222,0.084952,
102,0.193447954,0.1985,0.005052046,0.193774,0.000326046,0.193812,
103,0.158301851,0.1599,0.001598149,0.15803,0.000271851,0.158805,
104,0.079644121,0.0784,0.001244121,0.079801,0.000156879,0.080085,
105,0.510636318,0.5179,0.007263682,0.510255,0.000381318,0.510865,
106,0.490846943,0.4876,0.003246943,0.490309,0.000537943,0.49051,
107,0.59968856,0.5984,0.00128856,0.599492,0.00019656,0.59969,
108,0.560370969,0.5483,0.012070969,0.559523,0.000847969,0.559675,
109,0.403843972,0.3898,0.014043972,0.403292,0.000551972,0.402958,
110,0.83828426,0.8351,0.00318426,0.837707,0.00057726,0.838245,
111,0.128602933,0.1286,2.93E-06,0.128402,0.000200933,0.128876,
112,0.100329991,0.0971,0.003229991,0.100061,0.000268991,0.100442,
113,0.395520402,0.3949,0.000620402,0.39507,0.000450402,0.394699,
114,0.320931536,0.3193,0.001631536,0.32105,0.000118464,0.320695,
115,0.23023867,0.2288,0.00143867,0.230449,0.00021033,0.230223,
116,0.874709448,0.8796,0.004890552,0.874526,0.000183448,0.874706,
117,0.753531294,0.7486,0.004931294,0.753806,0.000274706,0.753015,
118,0.895255916,0.8977,0.002444084,0.895302,4.61E-05,0.895589,
119,0.798346978,0.7997,0.001353022,0.798829,0.000482022,0.797702,
120,0.839698314,0.8414,0.001701686,0.840565,0.000866686,0.839519,
121,0.78349013,0.7841,0.00060987,0.783183,0.00030713,0.783837,
122,0.823782361,0.825,0.001217639,0.823942,0.000159639,0.823962,
123,0.856858283,0.8616,0.004741717,0.857541,0.000682717,0.856716,
124,0.876623492,0.888,0.011376508,0.877178,0.000554508,0.875528,
125,0.931881694,0.9368,0.004918306,0.9321,0.000218306,0.931787,
126,0.865115408,0.868,0.002884592,0.864472,0.000643408,0.864955,
127,0.883202195,0.8882,0.004997805,0.883029,0.000173195,0.882773,
128,0.852280576,0.8524,0.000119424,0.852504,0.000223424,0.851838,
129,0.880195046,0.8776,0.002595046,0.879924,0.000271046,0.880514,
130,0.939510756,0.9418,0.002289244,0.939545,3.42E-05,0.939349,
131,0.933791958,0.9319,0.001891958,0.933829,3.70E-05,0.933903,
132,0.794618876,0.7927,0.001918876,0.794924,0.000305124,0.794787,
133,0.797483293,0.7958,0.001683293,0.797449,3.43E-05,0.797076,
134,0.835282743,0.8314,0.003882743,0.834614,0.000668743,0.835532,
135,0.914986819,0.9191,0.004113181,0.915076,8.92E-05,0.914722,
136,0.841144244,0.8388,0.002344244,0.841424,0.000279756,0.840869,
137,0.892356698,0.8946,0.002243302,0.891943,0.000413698,0.892425,
138,0.889866268,0.8902,0.000333732,0.890185,0.000318732,0.890079,
139,0.828661002,0.8289,0.000238998,0.827763,0.000898002,0.828628,
140,0.937856906,0.9325,0.005356906,0.937583,0.000273906,0.937774,
141,0.875554533,0.8745,0.001054533,0.875476,7.85E-05,0.875823,
142,0.918093855,0.9148,0.003293855,0.918229,0.000135145,0.917818,
143,0.843221623,0.8448,0.001578377,0.842914,0.000307623,0.84289,
144,0.809975408,0.8163,0.006324592,0.810559,0.000583592,0.809137,
145,0.673543706,0.678,0.004456294,0.673205,0.000338706,0.673657,
146,0.574211029,0.5631,0.011111029,0.574498,0.000286971,0.573907,
147,0.641303651,0.6487,0.007396349,0.641086,0.000217651,0.641383,
148,0.886861482,0.8892,0.002338518,0.887181,0.000319518,0.886356,
149,0.836961938,0.8375,0.000538062,0.83686,0.000101938,0.836884,
150,0.867746615,0.867,0.000746615,0.867967,0.000220385,0.867617,
151,0.900722281,0.8999,0.000822281,0.900751,2.87E-05,0.900577,
152,0.773351759,0.7692,0.004151759,0.772833,0.000518759,0.773119,
