Node,AlgoValue,MCValue(1million),Diff,MCValue(100thousand),Diff,MCValue(10thousand),Diff
476,0.853248521,0.851888,0.001360521,0.68554,0.003876656,0.6759,0.015570371
131,0.692931692,0.694248,0.001316308,0.85891,0.003456242,0.6626,0.014182417
275,0.9,0.898758,0.001242,0.69126,0.003400319,0.6831,0.011560319
37,0.851121135,0.852217,0.001095865,0.56271,0.003216617,0.8885,0.0115
518,0.830535504,0.831621,0.001085496,0.86329,0.003101247,0.7403,0.0113
337,0.672667194,0.673714,0.001046806,0.86469,0.003068175,0.6582,0.010362622
87,0.861621825,0.862653,0.001031175,0.72594,0.00306,0.8343,0.010301686
591,0.676782417,0.675755,0.001027417,0.68821,0.003043699,0.7007,0.010242729
821,0.9,0.901007,0.001007,0.69012,0.003009494,0.7078,0.009790392
34,0.689408119,0.690399,0.000990881,0.69519,0.002962269,0.6836,0.009529494
90,0.830535504,0.829594,0.000941504,0.89567,0.002939351,0.858,0.00951
574,0.676782417,0.675845,0.000937417,0.68441,0.002849414,0.8445,0.009214547
333,0.665288936,0.666212,0.000923064,0.66811,0.002821064,0.909,0.009
104,0.692931692,0.693849,0.000917308,0.55949,0.002809875,0.6825,0.008970371
603,0.825385953,0.824482,0.000903953,0.82404,0.002695634,0.6857,0.008960319
71,0.556680125,0.555781,0.000899125,0.89738,0.00262,0.5682,0.008929611
1035,0.691253699,0.692151,0.000897301,0.69718,0.002519681,0.8706,0.008859743
473,0.69208285,0.691186,0.00089685,0.6793,0.002517583,0.8447,0.008849033
95,0.855471225,0.856363,0.000891775,0.85606,0.002510967,0.6833,0.00879459
539,0.691470371,0.690586,0.000884371,0.87001,0.0025,0.8704,0.008659743
830,0.855453758,0.854572,0.000881758,0.56198,0.002486617,0.6755,0.008627366
349,0.739622016,0.740503,0.000880984,0.86503,0.00248,0.9086,0.0086
477,0.691181117,0.692062,0.000880883,0.73148,0.00248,0.8529,0.008513538
161,0.861621825,0.8625,0.000878175,0.85541,0.002464589,0.679,0.008508192
1022,0.565387782,0.566265,0.000877218,0.7314,0.0024,0.6936,0.008110859
9,0.86751,0.866647,0.000863,0.89035,0.002380649,0.8435,0.00808271
403,0.9,0.899159,0.000841,0.55432,0.002360125,0.8226,0.007935504
634,0.694660319,0.695486,0.000825681,0.90233,0.00233,0.8535,0.007913538
719,0.9,0.899175,0.000825,0.68493,0.002329414,0.5684,0.007812891
626,0.559493383,0.560314,0.000820617,0.69304,0.002307429,0.6845,0.007717583
584,0.687508192,0.688328,0.000819808,0.86523,0.00228,0.6998,0.00771715
1014,0.856740046,0.855945,0.000795046,0.90228,0.00228,0.8923,0.0077
335,0.855715424,0.856507,0.000791576,0.68498,0.002279414,0.8578,0.007608493
102,0.690732571,0.689941,0.000791571,0.68498,0.002279414,0.8692,0.007578175
875,0.853144012,0.853935,0.000790988,0.55441,0.002270125,0.6981,0.007500647
712,0.9,0.90079,0.00079,0.85935,0.002253599,0.8643,0.007480586
1000,0.856819414,0.856034,0.000785414,0.68822,0.002237271,0.7861,0.007459511
732,0.856740046,0.855966,0.000774046,0.68658,0.002232575,0.7216,0.0074
797,0.862509789,0.86174,0.000769789,0.89777,0.00223,0.869,0.007378175
552,0.689784931,0.689019,0.000765931,0.89496,0.002229351,0.6986,0.007346301
1040,0.729,0.729764,0.000764,0.89778,0.00222,0.8552,0.007309789
92,0.729,0.72976,0.00076,0.70021,0.002200392,0.6848,0.007276484
1007,0.853549033,0.854308,0.000758967,0.85954,0.002200257,0.6874,0.007260319
681,0.855715424,0.854965,0.000750424,0.56168,0.002186617,0.869,0.007259743
446,0.9,0.900749,0.000749,0.72682,0.00218,0.8482,0.007253758
462,0.692076484,0.692822,0.000745516,0.86392,0.002179743,0.8504,0.007205333
922,0.9,0.899256,0.000744,0.69425,0.002173516,0.697,0.00716007
64,0.687259414,0.688,0.000740586,0.8537,0.002169932,0.6983,0.007152829
847,0.665288936,0.666027,0.000738064,0.56755,0.002162218,0.6875,0.007132284
904,0.86751,0.868241,0.000731,0.85657,0.002146728,0.6984,0.007119631
338,0.698009608,0.697279,0.000730608,0.69155,0.002133344,0.8604,0.00711
400,0.9,0.900725,0.000725,0.90213,0.00213,0.6909,0.007109608
300,0.86751,0.868233,0.000723,0.82499,0.002120352,0.8929,0.0071
793,0.86751,0.866789,0.000721,0.8654,0.00211,0.8686,0.006996401
519,0.698009608,0.698727,0.000717392,0.8467,0.002098314,0.8375,0.006964496
775,0.8938269,0.894544,0.0007171,0.8643,0.002091247,0.8556,0.006909789
880,0.86751,0.868227,0.000717,0.83797,0.002061777,0.8685,0.006878175
636,0.694660319,0.695374,0.000713681,0.85958,0.002041825,0.8613,0.006876728
852,0.698009608,0.697299,0.000710608,0.90204,0.00204,0.6981,0.006819631
554,0.694632284,0.693924,0.000708284,0.68678,0.002032575,0.8675,0.006805396
877,0.861621825,0.862329,0.000707175,0.68752,0.002030859,0.8478,0.006802137
25,0.691470371,0.690768,0.000702371,0.85867,0.002024604,0.8684,0.006778175
756,0.9,0.900699,0.000699,0.66731,0.002021064,0.8579,0.006772729
120,0.694660319,0.693965,0.000695319,0.90202,0.00202,0.8685,0.006759743
622,0.8604952,0.861184,0.0006888,0.86189,0.002015611,0.6972,0.006742729
767,0.9,0.899312,0.000688,0.8655,0.00201,0.5634,0.006719875
682,0.855715424,0.85503,0.000685424,0.69409,0.00200715,0.8597,0.006691247
