Node,AlgoValue,ExactValue,AbsDiff,PercError
16,0.820333325,0.820333325,1.19E-13,1.45E-11
15,0.831017085,0.831017085,4.55E-15,5.48E-13
12,0.787378741,0.787378741,2.11E-15,2.68E-13
11,0.818183092,0.818183092,9.99E-16,1.22E-13
8,0.696426568,0.696426568,6.66E-16,9.57E-14
4,0.825202522,0.825202522,4.44E-16,5.38E-14
6,0.865884447,0.865884447,3.33E-16,3.85E-14
14,0.819058523,0.819058523,3.33E-16,4.07E-14
10,0.681366411,0.681366411,1.11E-16,1.63E-14
1,0.9,0.9,0,0
2,0.86751,0.86751,0,0
3,0.9,0.9,0,0
5,0.729,0.729,0,0
7,0.859785886,0.859785886,0,0
9,0.8411931,0.8411931,0,0
13,0.9,0.9,0,0
