Node,AlgoValue,ComparisonValue,Diff_Calculated
25,0.785914761,0.785244,6.71E-04
26,0.680898178,0.680303,5.95E-04
3,0.418801549,0.418324,4.78E-04
12,0.691885529,0.691449,4.37E-04
10,0.801662634,0.802099,4.36E-04
1,0.772116038,0.771711,4.05E-04
19,0.682013122,0.682398,3.85E-04
23,0.418801549,0.419186,3.84E-04
6,0.748490643,0.748109,3.82E-04
20,0.765712878,0.766094,3.81E-04
9,0.63831969,0.637983,3.37E-04
17,0.760525009,0.760203,3.22E-04
15,0.59049,0.590755,2.65E-04
5,0.774230566,0.77398,2.51E-04
24,0.517038949,0.516793,2.46E-04
16,0.754005189,0.754199,1.94E-04
11,0.9,0.899818,1.82E-04
8,0.770539349,0.770714,1.75E-04
7,0.729,0.728848,1.52E-04
14,0.780472085,0.780582,1.10E-04
4,0.777994901,0.77792,7.49E-05
13,0.808108623,0.808042,6.66E-05
21,0.418801549,0.418745,5.65E-05
2,0.807037194,0.807092,5.48E-05
22,0.729,0.728951,4.90E-05
18,0.780068194,0.780038,3.02E-05
