Node,AlgoValue,ComparisonValue,Diff
23,0.7151489999999999,0.7148235,0.0003254999999999786
21,0.7151489999999999,0.7148835,0.0002654999999999186
24,0.7946099999999999,0.7944707,0.00013929999999995335
3,0.7151489999999999,0.7150383,0.0001106999999999081
22,0.9,0.9000875,8.750000000001812e-5
6,0.9827052352212696,0.9826246,8.063522126966483e-5
8,0.9873558307298458,0.9872951,6.0730729845803744e-5
16,0.9707933212109999,0.9707344,5.892121099992931e-5
5,0.9871376940716677,0.9870861,5.159407166777097e-5
4,0.9895517658969475,0.9895056,4.616589694750317e-5
14,0.9899585218707159,0.9899175,4.102187071586272e-5
17,0.9773397236421,0.9773048,3.4923642100004315e-5
20,0.9872394299136814,0.9872077,3.1729913681388666e-5
9,0.8828999999999999,0.8829117,1.1700000000058886e-5
12,0.9453877893009001,0.9453983,1.0510699099963716e-5
15,0.81,0.8100095,9.499999999995623e-6
2,0.9989973632898909,0.9990065,9.136710109158841e-6
19,0.9451777458527991,0.9451865,8.754147200917828e-6
18,0.9919195648638283,0.9919269,7.335136171682244e-6
10,0.9980731618685361,0.9980664,6.76186853609817e-6
13,0.9996010113650485,0.999595,6.0113650485194015e-6
26,0.94325004695618,0.9432445,5.546956179935947e-6
1,0.9765924579,0.9765889,3.557900000061842e-6
7,0.9,0.9000033,3.2999999999283602e-6
25,0.9938685437125363,0.9938674,1.1437125363444878e-6
11,1.0,1.0,0.0
