Node,AlgoValue,ExactValue,AbsDiff,PercError
22,0.9546355292867719,0.9546355292867755,3.6637359812630166e-15,3.8378374456691926e-13
21,0.9534927483446016,0.9534927483446027,1.1102230246251565e-15,1.1643749011753466e-13
23,0.8591719763580947,0.8591719763580942,5.551115123125783e-16,6.461005800789915e-14
20,0.7696978101,0.7696978101000003,2.220446049250313e-16,2.8848283314744386e-14
10,0.9485100000000001,0.94851,1.1102230246251565e-16,1.1704916391236323e-14
11,0.95024421,0.9502442099999999,1.1102230246251565e-16,1.1683554742471482e-14
13,0.9372074301000002,0.9372074301000001,1.1102230246251565e-16,1.1846075788224338e-14
14,0.9452710375371,0.9452710375371001,1.1102230246251565e-16,1.1745023178937526e-14
19,0.8552197890000001,0.8552197890000002,1.1102230246251565e-16,1.2981727491634976e-14
1,1.0,1.0,0.0,0.0
2,0.9,0.9,0.0,0.0
3,0.81,0.81,0.0,0.0
4,0.7290000000000001,0.7290000000000001,0.0,0.0
5,0.8536590000000001,0.8536590000000001,0.0,0.0
6,0.81,0.81,0.0,0.0
7,1.0,1.0,0.0,0.0
8,0.9,0.9,0.0,0.0
9,0.81,0.81,0.0,0.0
12,0.81,0.81,0.0,0.0
15,0.81,0.81,0.0,0.0
16,0.9,0.9,0.0,0.0
17,0.81,0.81,0.0,0.0
18,1.0,1.0,0.0,0.0
