Node,AlgoValue,ComparisonValue,AbsDiff_calc,PercError_calc
205,0.456676076,0.456676076,4.996E-15,1.09399E-14
261,0.369109843,0.369109843,1.9984E-15,5.41411E-15
260,0.369573015,0.369573015,1.05471E-15,2.85387E-15
25,0.261687629,0.261687629,9.99201E-16,3.8183E-15
71,0.274775696,0.274775696,9.99201E-16,3.63642E-15
75,0.788049,0.788049,9.99201E-16,1.26794E-15
109,0.261687629,0.261687629,9.99201E-16,3.8183E-15
170,0.395227959,0.395227959,9.99201E-16,2.52816E-15
202,0.342299162,0.342299162,9.99201E-16,2.91909E-15
226,0.106601737,0.106601737,9.99201E-16,9.37321E-15
66,0.095808361,0.095808361,9.71445E-17,1.01395E-15
176,0.095808361,0.095808361,9.71445E-17,1.01395E-15
1,0.025031555,0.025031555,0,0
2,0.030903154,0.030903154,0,0
3,0.038152042,0.038152042,0,0
4,0.047101287,0.047101287,0,0
5,0.058149737,0.058149737,0,0
6,0.071789799,0.071789799,0,0
7,0.088629381,0.088629381,0,0
8,0.109418989,0.109418989,0,0
9,0.135085172,0.135085172,0,0
10,0.166771817,0.166771817,0,0
11,0.205891132,0.205891132,0,0
12,0.254186583,0.254186583,0,0
13,0.313810596,0.313810596,0,0
14,0.387420489,0.387420489,0,0
15,0.4782969,0.4782969,0,0
16,0.59049,0.59049,0,0
17,0.729,0.729,0,0
18,0.9,0.9,0,0
19,0.729,0.729,0,0
20,0.59049,0.59049,0,0
21,0.4782969,0.4782969,0,0
22,0.387420489,0.387420489,0,0
23,0.313810596,0.313810596,0,0
24,0.323071147,0.323071147,0,0
26,0.211966979,0.211966979,0,0
27,0.171693253,0.171693253,0,0
28,0.139071535,0.139071535,0,0
29,0.112647944,0.112647944,0,0
30,0.091244834,0.091244834,0,0
31,0.073908316,0.073908316,0,0
32,0.059865736,0.059865736,0,0
33,0.048491246,0.048491246,0,0
34,0.039277909,0.039277909,0,0
35,0.031815106,0.031815106,0,0
36,0.047101287,0.047101287,0,0
37,0.058149737,0.058149737,0,0
38,0.071789799,0.071789799,0,0
39,0.088629381,0.088629381,0,0
40,0.109418989,0.109418989,0,0
41,0.135085172,0.135085172,0,0
42,0.166771817,0.166771817,0,0
43,0.205891132,0.205891132,0,0
44,0.254186583,0.254186583,0,0
45,0.166771817,0.166771817,0,0
46,0.135085172,0.135085172,0,0
47,0.109418989,0.109418989,0,0
48,0.088629381,0.088629381,0,0
49,0.071789799,0.071789799,0,0
50,0.058149737,0.058149737,0,0
51,0.205891132,0.205891132,0,0
52,0.166771817,0.166771817,0,0
53,0.135085172,0.135085172,0,0
54,0.109418989,0.109418989,0,0
55,0.088629381,0.088629381,0,0
56,0.071789799,0.071789799,0,0
57,0.166771817,0.166771817,0,0
58,0.135085172,0.135085172,0,0
59,0.109418989,0.109418989,0,0
60,0.088629381,0.088629381,0,0
61,0.071789799,0.071789799,0,0
62,0.058149737,0.058149737,0,0
63,0.047101287,0.047101287,0,0
64,0.062859866,0.062859866,0,0
65,0.077604772,0.077604772,0,0
67,0.118281927,0.118281927,0,0
68,0.146027071,0.146027071,0,0
69,0.180280334,0.180280334,0,0
70,0.222568314,0.222568314,0,0
72,0.339229254,0.339229254,0,0
73,0.517038949,0.517038949,0,0
74,0.63831969,0.63831969,0,0
76,0.729,0.729,0,0
77,0.59049,0.59049,0,0
78,0.4782969,0.4782969,0,0
79,0.387420489,0.387420489,0,0
80,0.313810596,0.313810596,0,0
81,0.254186583,0.254186583,0,0
82,0.205891132,0.205891132,0,0
83,0.166771817,0.166771817,0,0
84,0.135085172,0.135085172,0,0
85,0.109418989,0.109418989,0,0
86,0.088629381,0.088629381,0,0
87,0.071789799,0.071789799,0,0
88,0.058149737,0.058149737,0,0
89,0.047101287,0.047101287,0,0
90,0.038152042,0.038152042,0,0
91,0.030903154,0.030903154,0,0
92,0.180280334,0.180280334,0,0
93,0.256759043,0.256759043,0,0
94,0.166771817,0.166771817,0,0
95,0.205891132,0.205891132,0,0
96,0.254186583,0.254186583,0,0
97,0.313810596,0.313810596,0,0
98,0.339229254,0.339229254,0,0
99,0.274775696,0.274775696,0,0
100,0.222568314,0.222568314,0,0
101,0.285299827,0.285299827,0,0
102,0.166771817,0.166771817,0,0
103,0.205891132,0.205891132,0,0
104,0.274775696,0.274775696,0,0
105,0.320535363,0.320535363,0,0
106,0.166771817,0.166771817,0,0
107,0.205891132,0.205891132,0,0
108,0.254186583,0.254186583,0,0
110,0.211966979,0.211966979,0,0
111,0.171693253,0.171693253,0,0
112,0.259586072,0.259586072,0,0
113,0.180280334,0.180280334,0,0
114,0.050916491,0.050916491,0,0
115,0.062859866,0.062859866,0,0
116,0.077604772,0.077604772,0,0
117,0.095808361,0.095808361,0,0
118,0.118281927,0.118281927,0,0
119,0.146027071,0.146027071,0,0
120,0.180280334,0.180280334,0,0
121,0.146027071,0.146027071,0,0
122,0.077604772,0.077604772,0,0
123,0.062859866,0.062859866,0,0
124,0.050916491,0.050916491,0,0
125,0.041242358,0.041242358,0,0
126,0.03340631,0.03340631,0,0
127,0.118281927,0.118281927,0,0
128,0.095808361,0.095808361,0,0
129,0.008727964,0.008727964,0,0
130,0.010775264,0.010775264,0,0
131,0.013302795,0.013302795,0,0
132,0.016423203,0.016423203,0,0
133,0.02027556,0.02027556,0,0
134,0.025031555,0.025031555,0,0
135,0.030903154,0.030903154,0,0
136,0.038152042,0.038152042,0,0
137,0.047101287,0.047101287,0,0
138,0.058149737,0.058149737,0,0
139,0.071789799,0.071789799,0,0
140,0.088629381,0.088629381,0,0
141,0.109418989,0.109418989,0,0
142,0.135085172,0.135085172,0,0
143,0.166771817,0.166771817,0,0
144,0.205891132,0.205891132,0,0
145,0.418801549,0.418801549,0,0
146,0.038152042,0.038152042,0,0
147,0.047101287,0.047101287,0,0
148,0.058149737,0.058149737,0,0
149,0.071789799,0.071789799,0,0
150,0.088629381,0.088629381,0,0
151,0.109418989,0.109418989,0,0
152,0.031815106,0.031815106,0,0
153,0.025770236,0.025770236,0,0
154,0.020873891,0.020873891,0,0
155,0.016907852,0.016907852,0,0
156,0.058149737,0.058149737,0,0
157,0.071789799,0.071789799,0,0
158,0.088629381,0.088629381,0,0
159,0.047101287,0.047101287,0,0
160,0.038152042,0.038152042,0,0
161,0.030903154,0.030903154,0,0
