Node,AlgoValue,MCValue,Diff
8,0.890603321859,0.8904897,0.00011362185899999044
5,0.9,0.8999428,5.719999999997949e-5
4,0.98015429896731,0.9800979,5.639896731002292e-5
15,0.9849798946954835,0.9850348,5.4905304516461584e-5
2,0.99,0.989964,3.6000000000036e-5
16,0.9853885317358566,0.9854236,3.5068264143345296e-5
10,0.8828999999999999,0.8829346,3.460000000010677e-5
7,0.98955924651,0.9895881,2.8853489999924875e-5
12,0.9745652500063569,0.9745918,2.654999364315458e-5
11,0.9773438950448998,0.9773196,2.429504489986911e-5
14,0.979461,0.979448,1.3000000000040757e-5
6,0.9951027390000001,0.9950941,8.639000000143504e-6
9,0.9809999999999999,0.9809924,7.599999999885476e-6
1,1.0,1.0,0.0
3,1.0,1.0,0.0
13,1.0,1.0,0.0
