from,to
821,815
821,818
821,814
821,816
821,810
821,809
821,812
821,819
821,880
821,811
821,813
821,808
820,815
820,818
820,814
820,816
820,817
820,810
820,809
820,812
820,819
820,880
820,884
820,811
820,808
815,682
10,9
10,5
13,9
13,5
9,11
1,11
1,6
1,7
11,691
11,689
11,692
11,690
11,4
11,697
11,695
11,698
11,696
11,668
11,666
11,669
11,667
11,177
11,175
11,178
11,176
11,183
11,181
11,184
11,182
11,154
11,152
11,155
11,153
8,691
8,689
8,692
8,690
8,693
8,654
8,694
8,653
8,656
8,655
8,652
8,2
8,3
8,4
8,697
8,695
8,698
8,696
8,699
8,648
8,700
8,647
8,650
8,649
8,646
8,661
8,664
8,658
8,662
8,659
8,663
8,660
8,668
8,666
8,669
8,667
8,177
8,175
8,178
8,176
8,179
8,140
8,180
8,139
8,142
8,141
8,138
8,183
8,181
8,184
8,182
8,185
8,134
8,186
8,133
8,136
8,135
8,132
8,147
8,150
8,144
8,148
8,145
8,149
8,146
8,154
8,152
8,155
8,153
691,682
691,854
682,856
856,855
856,843
709,854
854,855
855,846
689,848
689,849
707,848
848,846
710,860
860,862
711,864
864,862
862,844
818,683
692,683
683,866
712,866
866,857
866,859
866,858
690,852
690,853
852,857
857,844
844,850
814,849
849,859
859,843
843,847
816,861
861,863
817,865
865,863
863,845
708,853
853,858
858,845
845,851
5,6
5,7
6,693
6,654
6,694
6,653
6,656
6,655
6,657
6,652
6,3
6,699
6,648
6,700
6,647
6,650
6,649
6,651
6,646
6,179
6,140
6,180
6,139
6,142
6,141
6,143
6,138
6,185
6,134
6,186
6,133
6,136
6,135
6,137
6,132
693,871
693,872
713,871
871,869
786,792
762,792
792,798
703,798
798,569
810,678
654,678
678,569
569,874
569,571
569,875
569,576
694,876
694,877
876,874
874,867
879,881
883,881
881,867
867,873
785,791
761,791
791,797
702,797
797,836
12,653
12,656
12,655
12,657
12,652
12,2
12,3
12,4
12,647
12,650
12,649
12,651
12,646
12,661
12,664
12,663
12,665
12,660
12,139
12,142
12,141
12,143
12,138
12,133
12,136
12,135
12,137
12,132
12,147
12,150
12,149
12,151
12,146
653,677
822,809
822,812
822,811
822,813
822,808
809,677
677,836
836,566
922,934
910,934
934,566
566,644
566,587
566,575
644,581
898,581
581,567
581,574
581,589
581,590
581,591
581,593
581,942
912,936
924,936
936,577
812,680
656,680
680,838
705,800
764,794
788,794
794,800
800,838
838,577
577,567
577,576
567,564
567,578
567,598
567,572
567,573
567,587
819,872
872,571
571,564
571,579
564,870
564,568
564,588
880,882
884,882
882,868
714,877
877,875
875,868
868,878
599,568
599,579
572,585
572,582
573,586
573,583
587,584
787,793
763,793
793,799
704,799
799,837
655,679
811,679
679,837
837,570
923,935
911,935
935,890
897,890
890,570
570,592
789,795
765,795
795,801
706,801
801,580
657,681
813,681
681,580
580,597
921,933
909,933
933,889
942,889
889,565
784,790
760,790
790,796
701,796
796,835
652,676
808,676
676,835
835,565
565,594
565,595
565,596
7,2
7,661
7,664
7,658
7,662
7,659
7,663
7,665
7,660
7,147
7,150
7,144
7,148
7,145
7,149
7,151
7,146
967,1003
967,1006
967,1002
697,742
697,685
697,1002
752,745
752,743
752,746
752,748
752,749
752,735
752,1036
752,734
752,737
752,736
752,738
752,733
751,745
751,743
751,746
751,747
751,748
751,744
751,749
751,735
751,750
751,1036
751,1040
751,734
751,737
751,736
751,733
745,742
742,1003
1003,1004
824,685
685,1006
1006,1001
1006,1005
1006,985
1002,1001
1002,1005
1001,1004
1004,989
965,992
965,993
965,994
695,739
695,993
695,684
743,739
739,992
992,989
968,1011
968,1012
746,1011
1011,1013
969,1015
969,1016
747,1015
1015,1013
1013,986
970,1017
827,686
698,686
686,839
748,766
767,766
766,839
839,1017
1017,1007
1017,1008
1017,1010
1017,1009
966,998
966,999
966,1000
744,740
744,741
696,740
696,999
696,741
740,998
998,1007
1007,986
986,995
1005,990
993,990
999,1008
1008,987
987,996
823,684
684,994
994,1010
1010,985
985,991
825,1012
1012,1014
826,1016
1016,1014
1014,988
741,1000
1000,1009
1009,988
988,997
699,1024
699,1025
699,687
749,1024
1024,1021
946,533
717,723
756,723
723,729
735,729
729,831
804,672
648,672
672,831
831,533
533,1029
533,1030
533,535
533,1031
533,540
750,1032
750,1034
700,1032
700,1033
700,1034
1032,1029
1029,1018
1036,1038
1040,1038
1038,1018
1018,1027
1025,1022
1033,1030
1030,1019
1019,1028
950,545
716,722
755,722
722,728
753,734
753,737
753,736
753,738
753,733
734,728
728,830
647,671
803,671
671,830
830,530
918,930
906,930
930,886
945,886
886,530
530,643
530,551
530,539
643,901
896,901
901,545
545,531
545,538
545,553
545,554
545,555
545,557
545,941
948,888
908,932
920,932
932,888
888,541
806,674
650,674
674,833
737,731
758,725
719,725
725,731
731,833
833,541
541,531
541,540
531,528
531,542
531,562
531,536
531,537
531,551
971,1026
828,687
687,1026
1026,535
535,528
535,543
528,1023
528,532
528,552
1037,1039
1041,1039
1039,1020
1034,1031
1031,1020
1020,1035
563,532
563,543
536,549
536,546
537,550
537,547
551,548
718,724
757,724
724,730
736,730
730,832
649,673
805,673
673,832
832,534
919,931
