Node,AlgoResults,McResults,AbsDiff,PercentageDiff
278,0.2618,0.2632,0.001446,0.55
146,0.2059,0.2049,0.000991,0.48
124,0.2288,0.2278,0.000968,0.42
125,0.2059,0.2051,0.000791,0.39
148,0.2542,0.2532,0.000987,0.39
215,0.3874,0.3859,0.00152,0.39
123,0.2542,0.2532,0.000987,0.39
147,0.2288,0.2279,0.000868,0.38
216,0.3487,0.3474,0.001278,0.37
83,0.4305,0.429,0.001467,0.34
85,0.3487,0.3475,0.001178,0.34
122,0.2824,0.2815,0.00093,0.33
277,0.2908,0.2918,0.000962,0.33
86,0.3138,0.3128,0.001011,0.32
117,0.3138,0.3128,0.001011,0.32
176,0.3138,0.3128,0.001011,0.32
131,0.1216,0.1212,0.000377,0.31
144,0.4783,0.4768,0.001497,0.31
177,0.3487,0.3476,0.001078,0.31
143,0.4305,0.4292,0.001267,0.3
194,0.2883,0.2892,0.000857,0.3
130,0.1094,0.1091,0.000319,0.29
157,0.2824,0.2816,0.00083,0.29
175,0.2824,0.2816,0.00083,0.29
90,0.2059,0.2053,0.000591,0.29
149,0.2824,0.2816,0.00083,0.29
217,0.3138,0.3129,0.000911,0.29
222,0.2059,0.2053,0.000591,0.29
61,0.2824,0.2816,0.00083,0.29
89,0.2288,0.2281,0.000668,0.29
114,0.2288,0.2281,0.000668,0.29
132,0.1351,0.1347,0.000385,0.29
178,0.3874,0.3863,0.00112,0.29
4,0.2288,0.2281,0.000668,0.29
112,0.3874,0.3863,0.00112,0.29
29,0.3734,0.3724,0.001035,0.28
134,0.1668,0.1663,0.000472,0.28
218,0.3796,0.3785,0.001057,0.28
118,0.3487,0.3477,0.000978,0.28
91,0.1853,0.1848,0.000502,0.27
156,0.2542,0.2535,0.000687,0.27
115,0.2542,0.2535,0.000687,0.27
161,0.1853,0.1848,0.000502,0.27
223,0.1853,0.1848,0.000502,0.27
126,0.1853,0.1848,0.000502,0.27
84,0.3874,0.3864,0.00102,0.26
133,0.1501,0.1497,0.000395,0.26
139,0.2824,0.2817,0.00073,0.26
28,0.4149,0.4139,0.001027,0.25
63,0.2288,0.2282,0.000568,0.25
221,0.2288,0.2282,0.000568,0.25
160,0.2059,0.2054,0.000491,0.24
30,0.3361,0.3353,0.000791,0.24
38,0.2824,0.2831,0.00067,0.24
142,0.3874,0.3865,0.00092,0.24
32,0.2722,0.2716,0.000634,0.23
88,0.2542,0.2536,0.000587,0.23
150,0.3138,0.3131,0.000711,0.23
220,0.2542,0.2536,0.000587,0.23
5,0.2542,0.2536,0.000587,0.23
31,0.3025,0.3018,0.000682,0.23
128,0.3138,0.3131,0.000711,0.23
82,0.4783,0.4772,0.001097,0.23
141,0.3487,0.3479,0.000778,0.22
224,0.1668,0.1664,0.000372,0.22
87,0.2824,0.2818,0.00063,0.22
241,0.5314,0.5326,0.001159,0.22
246,0.3487,0.3494,0.000722,0.21
137,0.2288,0.2283,0.000468,0.2
159,0.2288,0.2283,0.000468,0.2
186,0.5905,0.5917,0.00121,0.2
276,0.3232,0.3238,0.000647,0.2
3,0.2059,0.2055,0.000391,0.19
60,0.3138,0.3132,0.000611,0.19
127,0.3487,0.348,0.000678,0.19
101,0.4305,0.4313,0.000833,0.19
140,0.3138,0.3132,0.000611,0.19
39,0.3138,0.3144,0.000589,0.19
68,0.3874,0.3867,0.00072,0.19
136,0.2059,0.2055,0.000391,0.19
151,0.3487,0.348,0.000678,0.19
247,0.3138,0.3144,0.000589,0.19
303,0.4783,0.4774,0.000897,0.19
36,0.2288,0.2292,0.000432,0.19
67,0.3487,0.348,0.000678,0.19
195,0.3204,0.321,0.000618,0.19
6,0.2824,0.2819,0.00053,0.19
219,0.2824,0.2819,0.00053,0.19
113,0.4305,0.4297,0.000767,0.18
185,0.6561,0.6573,0.0012,0.18
232,0.6742,0.6754,0.001236,0.18
40,0.3487,0.3493,0.000622,0.18
275,0.3591,0.3597,0.000641,0.18
245,0.3874,0.3881,0.00068,0.18
105,0.4783,0.4775,0.000797,0.17
201,0.6029,0.6039,0.001046,0.17
230,0.5461,0.547,0.000927,0.17
244,0.4305,0.4312,0.000733,0.17
42,0.4305,0.4312,0.000733,0.17
59,0.3487,0.3481,0.000578,0.17
56,0.2824,0.2829,0.00047,0.17
158,0.3138,0.3133,0.000511,0.16
